id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
35714823,Norwood Park,60656,41.97876,-87.80309,House,Private room,1,1,1,1,$35.00 ,100
35715075,Jefferson Park,60630,41.98179,-87.77505,Apartment,Entire home/apt,3,1,1,1,$65.00 ,96
35715607,Edgewater,60640,41.98103,-87.66993,Apartment,Private room,2,1,1,1,$48.00 ,
35716535,Bridgeport,60608,41.83767,-87.65169,Apartment,Private room,2,1.5,1,1,$55.00 ,80
35717229,Armour Square,60616,41.84165,-87.63297,Apartment,Private room,3,1,1,1,$35.00 ,
35720698,Lake View,60613,41.94974,-87.65297,Condominium,Entire home/apt,2,1,1,1,$200.00 ,
35730130,South Lawndale,60623,41.84817,-87.70246,Apartment,Entire home/apt,4,1,2,2,$135.00 ,
35731377,East Garfield Park,60612,41.8776,-87.69454,House,Entire home/apt,15,4,6,6,$600.00 ,
35734738,Uptown,60640,41.96766,-87.66773,Apartment,Private room,2,1,1,1,$55.00 ,90
35737416,Jefferson Park,60630,41.9691,-87.77409,Bungalow,Entire home/apt,10,3,3,8,$200.00 ,
35738467,Bridgeport,60616,41.84377,-87.64457,Apartment,Private room,4,1,1,2,$66.00 ,100
35739472,Grand Boulevard,60653,41.81181,-87.6082,Condominium,Entire home/apt,6,2,3,4,$175.00 ,
35740615,North Center,60618,41.95628,-87.69284,Apartment,Entire home/apt,4,2,3,3,$129.00 ,
35740636,Loop,60606,41.88349,-87.63382,Serviced apartment,Entire home/apt,2,1,0,1,$139.00 ,
35740692,Avalon Park,60617,41.73998,-87.57809,House,Entire home/apt,5,1,2,4,$35.00 ,100
35741960,Loop,60606,41.88383,-87.6347,Serviced apartment,Entire home/apt,4,1,1,1,$220.00 ,
35742380,South Lawndale,60623,41.8547,-87.6995,Apartment,Entire home/apt,4,1,1,1,$66.00 ,
35743481,Logan Square,60647,41.92458,-87.7032,Apartment,Entire home/apt,10,2,4,5,$200.00 ,100
35758043,Dunning,60634,41.9412,-87.82413,Guest suite,Private room,2,1,1,1,$65.00 ,
35758980,Calumet Heights,60617,41.72724,-87.5594,House,Private room,2,1,1,1,$30.00 ,60
35764872,Lincoln Square,60625,41.97815,-87.68046,Apartment,Private room,2,1,0,1,$47.00 ,100
35765755,Lincoln Park,60614,41.91362,-87.63986,Apartment,Entire home/apt,4,1,2,2,$159.00 ,
35767803,Loop,60601,41.88419,-87.62505,Apartment,Entire home/apt,2,1,1,2,$99.00 ,100
35768114,Portage Park,60634,41.945,-87.77574,House,Private room,2,1,2,2,$100.00 ,
35768174,Fuller Park,60609,41.81366,-87.6315,House,Entire home/apt,12,1.5,3,7,$249.00 ,
35768253,West Town,60622,41.89822,-87.68825,Apartment,Entire home/apt,6,1.5,2,2,$119.00 ,100
35768544,West Town,60622,41.90827,-87.66894,Apartment,Entire home/apt,6,1,2,3,$139.00 ,
35769538,Calumet Heights,60619,41.73538,-87.58599,Apartment,Entire home/apt,8,1.5,3,4,$139.00 ,
35770165,West Ridge,60645,42.01646,-87.70005,House,Private room,4,1,2,3,$60.00 ,100
35772279,Armour Square,60616,41.84169,-87.63121,Apartment,Entire home/apt,6,1,2,2,$99.00 ,100
35775093,Avondale,60618,41.93585,-87.70617,Apartment,Private room,2,1,1,1,$45.00 ,90
35788067,Lake View,60657,41.94193,-87.64078,Apartment,Entire home/apt,3,1,1,1,$99.00 ,
35788306,Lincoln Park,60614,41.92862,-87.64979,Condominium,Entire home/apt,3,1,1,1,$215.00 ,100
35792739,Near South Side,60605,41.8629,-87.62585,Apartment,Entire home/apt,4,1,1,1,$140.00 ,
35794329,Logan Square,60647,41.92216,-87.68231,House,Entire home/apt,8,2.5,5,6,$399.00 ,100
35796823,Near North Side,60611,41.89245,-87.6185,Apartment,Entire home/apt,2,1,0,1,$118.00 ,
35801183,Loop,60605,41.87012,-87.62391,Loft,Entire home/apt,2,1,0,1,$115.00 ,
35802969,Near North Side,60611,41.89972,-87.62221,Apartment,Entire home/apt,2,1,1,1,$145.00 ,
35803293,West Town,60622,41.90876,-87.67407,House,Private room,2,1.5,1,1,$159.00 ,100
35804057,West Ridge,60659,41.98434,-87.6995,Apartment,Entire home/apt,5,1.5,3,2,$55.00 ,
35804146,West Town,60622,41.90428,-87.68483,House,Private room,2,1,1,1,$61.00 ,
35804189,Logan Square,60647,41.92282,-87.72292,Apartment,Entire home/apt,7,1,3,3,$150.00 ,
35804641,Lake View,60657,41.94066,-87.64979,Apartment,Entire home/apt,3,1,1,1,$125.00 ,100
35805114,Douglas,60616,41.83212,-87.6217,House,Entire home/apt,12,3.5,4,8,$300.00 ,100
35806587,Norwood Park,60656,41.979,-87.80128,House,Private room,1,1,1,1,$35.00 ,90
35807792,Rogers Park,60626,42.01463,-87.67835,Condominium,Private room,2,1,1,2,$74.00 ,
35830889,Near North Side,60611,41.89906,-87.61973,Apartment,Entire home/apt,5,2,2,2,$250.00 ,80
35830980,Near North Side,60611,41.89896,-87.62025,Apartment,Entire home/apt,5,2,2,2,$250.00 ,
35832251,Loop,60601,41.88652,-87.61448,Apartment,Entire home/apt,6,2.5,3,4,$499.00 ,
35834089,Irving Park,60618,41.95618,-87.71032,Apartment,Private room,2,1,1,1,$80.00 ,100
35834323,Logan Square,60618,41.93212,-87.68596,Townhouse,Private room,2,1,1,1,$60.00 ,
35834590,Irving Park,60618,41.95626,-87.70985,Apartment,Private room,2,1,1,1,$80.00 ,100
35834672,Irving Park,60618,41.95577,-87.70964,Apartment,Private room,2,1,1,1,$80.00 ,100
35834802,Irving Park,60618,41.95485,-87.71027,Apartment,Private room,2,1,1,1,$80.00 ,
35841073,West Town,60622,41.90189,-87.68331,Condominium,Entire home/apt,16,3,6,9,$399.00 ,
35842483,Lake View,60657,41.94313,-87.64922,Condominium,Private room,6,2,3,3,$300.00 ,
35843921,Lake View,60657,41.94535,-87.64716,Apartment,Entire home/apt,3,1,1,1,$295.00 ,100
35844181,Lower West Side,60608,41.85709,-87.66853,Cottage,Entire home/apt,10,2,3,5,$249.00 ,
